지점,지점명,일시,강수량(mm)
108,서울,2020-01-01 0:00,0
108,서울,2020-01-01 3:00,0
108,서울,2020-01-01 6:00,0
108,서울,2020-01-01 9:00,0
108,서울,2020-01-01 12:00,0.1
108,서울,2020-01-06 12:00,0
108,서울,2020-01-06 15:00,0.1
108,서울,2020-01-06 18:00,0.6
108,서울,2020-01-06 21:00,0.5
108,서울,2020-01-07 0:00,0.6
108,서울,2020-01-07 3:00,2.1
108,서울,2020-01-07 6:00,7.4
108,서울,2020-01-07 9:00,6.5
108,서울,2020-01-07 12:00,2.4
108,서울,2020-01-07 15:00,4.6
108,서울,2020-01-07 18:00,7.2
108,서울,2020-01-07 21:00,9
108,서울,2020-01-08 0:00,7.1
108,서울,2020-01-08 3:00,6.2
108,서울,2020-01-08 6:00,4
108,서울,2020-01-08 9:00,1.4
108,서울,2020-01-08 12:00,0
108,서울,2020-01-19 12:00,0.6
108,서울,2020-01-19 15:00,0
108,서울,2020-01-27 18:00,0
108,서울,2020-01-27 21:00,0
108,서울,2020-01-28 0:00,0.1
108,서울,2020-01-28 3:00,0
108,서울,2020-01-28 6:00,0
108,서울,2020-01-31 15:00,0
108,서울,2020-02-03 3:00,0
108,서울,2020-02-04 15:00,0
108,서울,2020-02-04 18:00,0.2
108,서울,2020-02-04 21:00,1.5
108,서울,2020-02-05 0:00,0
108,서울,2020-02-08 0:00,0
108,서울,2020-02-08 3:00,0
108,서울,2020-02-10 0:00,0
108,서울,2020-02-10 3:00,0
108,서울,2020-02-12 6:00,0.1
108,서울,2020-02-12 9:00,0
108,서울,2020-02-12 12:00,0.8
108,서울,2020-02-12 15:00,1.4
108,서울,2020-02-12 18:00,1.2
108,서울,2020-02-12 21:00,3.2
108,서울,2020-02-13 0:00,0
108,서울,2020-02-15 21:00,0.3
108,서울,2020-02-16 0:00,1.7
108,서울,2020-02-16 3:00,8.1
108,서울,2020-02-16 6:00,3.5
108,서울,2020-02-16 9:00,0.8
108,서울,2020-02-16 12:00,0.5
108,서울,2020-02-16 15:00,0.5
108,서울,2020-02-16 18:00,0
108,서울,2020-02-16 21:00,0
108,서울,2020-02-17 0:00,0
108,서울,2020-02-17 3:00,0.4
108,서울,2020-02-17 6:00,0.6
108,서울,2020-02-17 9:00,0
108,서울,2020-02-17 12:00,0
108,서울,2020-02-17 15:00,0
108,서울,2020-02-21 21:00,0.6
108,서울,2020-02-22 0:00,3.6
108,서울,2020-02-22 3:00,3.1
108,서울,2020-02-22 6:00,0
108,서울,2020-02-22 15:00,0
108,서울,2020-02-25 3:00,0.5
108,서울,2020-02-25 6:00,1.9
108,서울,2020-02-25 9:00,6.2
108,서울,2020-02-25 12:00,7.3
108,서울,2020-02-25 15:00,0.7
108,서울,2020-02-26 18:00,0
108,서울,2020-02-26 21:00,0
108,서울,2020-02-28 12:00,0.2
108,서울,2020-02-28 15:00,2.2
108,서울,2020-02-28 18:00,0.5
108,서울,2020-02-28 21:00,0.6
108,서울,2020-02-29 0:00,0.4
108,서울,2020-02-29 3:00,0.3
108,서울,2020-02-29 6:00,0.2
108,서울,2020-02-29 9:00,0
108,서울,2020-03-01 21:00,0
108,서울,2020-03-02 0:00,0.2
108,서울,2020-03-02 3:00,0
108,서울,2020-03-04 6:00,0
108,서울,2020-03-04 15:00,0
108,서울,2020-03-04 18:00,0
108,서울,2020-03-10 3:00,0
108,서울,2020-03-10 6:00,1.4
108,서울,2020-03-10 9:00,3.4
108,서울,2020-03-10 12:00,3.7
108,서울,2020-03-10 15:00,0.7
108,서울,2020-03-10 18:00,1.1
108,서울,2020-03-10 21:00,1.5
108,서울,2020-03-13 3:00,0.5
108,서울,2020-03-13 6:00,0
108,서울,2020-03-19 15:00,0
