지점,지점명,일시,강수량(mm)
108,서울,2019-05-19 4:00,1
108,서울,2019-05-19 5:00,0.3
108,서울,2019-05-19 6:00,0.6
108,서울,2019-05-19 7:00,0
108,서울,2019-05-19 8:00,0
108,서울,2019-05-19 9:00,0.7
108,서울,2019-05-19 10:00,2.7
108,서울,2019-05-19 11:00,2.4
108,서울,2019-05-19 12:00,1.4
108,서울,2019-05-19 13:00,0.8
108,서울,2019-05-19 14:00,0.4
108,서울,2019-05-19 15:00,2.4
108,서울,2019-05-19 16:00,1.2
108,서울,2019-05-19 17:00,0.8
108,서울,2019-05-19 18:00,4.1
108,서울,2019-05-19 19:00,0.5
108,서울,2019-05-19 20:00,0.1
108,서울,2019-05-19 21:00,0.1
108,서울,2019-05-19 22:00,0
108,서울,2019-05-20 2:00,2.4
108,서울,2019-05-20 3:00,5.1
108,서울,2019-05-20 4:00,1.1
108,서울,2019-05-20 5:00,0.1
108,서울,2019-05-27 3:00,0
108,서울,2019-05-27 4:00,0
108,서울,2019-05-27 5:00,0
108,서울,2019-05-27 6:00,0.2
108,서울,2019-05-27 7:00,1.4
108,서울,2019-05-27 8:00,0.6
108,서울,2019-05-27 9:00,1.4
108,서울,2019-05-27 10:00,0.7
108,서울,2019-05-27 11:00,0.6
108,서울,2019-05-27 12:00,0.3
108,서울,2019-05-27 13:00,0.3
108,서울,2019-05-27 14:00,1.4
108,서울,2019-05-27 15:00,0.1
108,서울,2019-05-27 16:00,0
108,서울,2019-05-27 18:00,0.1
108,서울,2019-05-30 20:00,0
108,서울,2019-05-30 21:00,0
108,서울,2019-05-30 22:00,0
108,서울,2019-05-30 23:00,0
108,서울,2019-05-31 0:00,0
108,서울,2019-06-06 15:00,0
108,서울,2019-06-06 16:00,0.2
108,서울,2019-06-06 17:00,0.2
108,서울,2019-06-06 18:00,0
108,서울,2019-06-06 19:00,0
108,서울,2019-06-06 20:00,2.5
108,서울,2019-06-06 21:00,1.6
108,서울,2019-06-06 22:00,2.2
108,서울,2019-06-06 23:00,0.7
108,서울,2019-06-07 0:00,0.1
108,서울,2019-06-07 1:00,1.3
108,서울,2019-06-07 2:00,1.8
108,서울,2019-06-07 3:00,7.9
108,서울,2019-06-07 4:00,8.8
108,서울,2019-06-07 5:00,9
108,서울,2019-06-07 6:00,2.4
108,서울,2019-06-07 7:00,1.4
108,서울,2019-06-07 8:00,1
108,서울,2019-06-07 9:00,1
108,서울,2019-06-07 10:00,0.3
108,서울,2019-06-07 11:00,0.1
108,서울,2019-06-07 12:00,0.3
108,서울,2019-06-07 13:00,0
108,서울,2019-06-09 17:00,0
108,서울,2019-06-09 21:00,0
108,서울,2019-06-09 22:00,1.6
108,서울,2019-06-09 23:00,0.9
108,서울,2019-06-10 0:00,0
108,서울,2019-06-10 1:00,0.1
108,서울,2019-06-10 2:00,3.2
108,서울,2019-06-10 3:00,1.7
108,서울,2019-06-10 4:00,1.1
108,서울,2019-06-10 5:00,0.5
108,서울,2019-06-10 6:00,0.9
108,서울,2019-06-10 7:00,1.5
108,서울,2019-06-10 8:00,0.3
108,서울,2019-06-10 9:00,0.2
108,서울,2019-06-15 19:00,2.1
108,서울,2019-06-17 4:00,0
108,서울,2019-06-17 5:00,0
108,서울,2019-06-18 2:00,1.2
108,서울,2019-06-18 3:00,0.2
108,서울,2019-06-18 4:00,0
108,서울,2019-06-18 5:00,0
108,서울,2019-06-18 6:00,0.3
108,서울,2019-06-18 7:00,7.8
108,서울,2019-06-18 8:00,0.4
108,서울,2019-06-18 15:00,0.1
108,서울,2019-06-18 16:00,0.4
108,서울,2019-06-18 17:00,0.3
108,서울,2019-06-18 19:00,0
108,서울,2019-06-18 20:00,1.8
108,서울,2019-06-18 21:00,0.7
108,서울,2019-06-18 22:00,0.3
108,서울,2019-06-18 23:00,0.3
108,서울,2019-06-19 0:00,0
108,서울,2019-06-19 4:00,0
108,서울,2019-06-19 5:00,0.2
108,서울,2019-06-19 6:00,0
108,서울,2019-06-19 7:00,0
108,서울,2019-06-19 18:00,0
108,서울,2019-06-19 19:00,0
108,서울,2019-06-21 20:00,0.2
108,서울,2019-06-21 21:00,0
108,서울,2019-06-26 13:00,0
108,서울,2019-06-26 14:00,0
108,서울,2019-06-26 21:00,0
108,서울,2019-06-26 22:00,0
108,서울,2019-06-27 0:00,0
108,서울,2019-06-27 1:00,0.7
108,서울,2019-06-27 2:00,0.6
108,서울,2019-06-27 3:00,0
108,서울,2019-06-27 4:00,0
108,서울,2019-06-27 5:00,0.1
108,서울,2019-06-27 6:00,0
108,서울,2019-06-28 13:00,0
108,서울,2019-06-28 14:00,0
108,서울,2019-06-28 19:00,0
108,서울,2019-06-28 20:00,0
108,서울,2019-06-28 23:00,0
108,서울,2019-06-29 0:00,0
108,서울,2019-06-29 1:00,0.1
108,서울,2019-06-29 2:00,0.2
108,서울,2019-06-29 3:00,0.2
108,서울,2019-06-29 4:00,0
108,서울,2019-06-29 5:00,0.5
108,서울,2019-06-29 6:00,0
108,서울,2019-06-29 7:00,0.1
108,서울,2019-06-29 8:00,0.4
108,서울,2019-06-29 9:00,0
108,서울,2019-06-30 21:00,0
108,서울,2019-07-05 22:00,0
108,서울,2019-07-05 23:00,0
108,서울,2019-07-06 0:00,0
108,서울,2019-07-10 14:00,0
108,서울,2019-07-10 15:00,0
108,서울,2019-07-10 16:00,0
108,서울,2019-07-10 17:00,0.1
108,서울,2019-07-10 18:00,0.2
108,서울,2019-07-10 19:00,0.4
108,서울,2019-07-10 20:00,0.7
108,서울,2019-07-10 21:00,2.2
108,서울,2019-07-10 22:00,2.6
108,서울,2019-07-10 23:00,2
108,서울,2019-07-11 0:00,0.3
108,서울,2019-07-11 1:00,0.1
108,서울,2019-07-11 2:00,0
108,서울,2019-07-11 3:00,0.3
108,서울,2019-07-11 4:00,0
108,서울,2019-07-11 5:00,0.6
108,서울,2019-07-11 6:00,0.9
108,서울,2019-07-11 7:00,0.9
108,서울,2019-07-11 8:00,0
108,서울,2019-07-11 9:00,0.1
108,서울,2019-07-11 10:00,0
108,서울,2019-07-11 17:00,0
108,서울,2019-07-11 21:00,0
108,서울,2019-07-11 22:00,0
108,서울,2019-07-12 0:00,0
108,서울,2019-07-13 7:00,0
108,서울,2019-07-13 8:00,0
108,서울,2019-07-15 13:00,0
108,서울,2019-07-15 14:00,0
108,서울,2019-07-15 15:00,0
108,서울,2019-07-15 16:00,2.8
108,서울,2019-07-15 17:00,3.7
108,서울,2019-07-15 18:00,0.7
108,서울,2019-07-15 23:00,0.4
108,서울,2019-07-16 0:00,0.1
108,서울,2019-07-16 2:00,0.4
108,서울,2019-07-16 3:00,4
108,서울,2019-07-16 13:00,1.1
108,서울,2019-07-16 14:00,0.8
108,서울,2019-07-17 12:00,0.7
108,서울,2019-07-19 19:00,0
108,서울,2019-07-20 6:00,0.2
108,서울,2019-07-20 7:00,0
108,서울,2019-07-20 8:00,0
108,서울,2019-07-20 9:00,0.8
108,서울,2019-07-20 10:00,0
108,서울,2019-07-20 11:00,0
108,서울,2019-07-20 12:00,0.1
108,서울,2019-07-20 17:00,0
108,서울,2019-07-20 19:00,0
108,서울,2019-07-21 0:00,0
108,서울,2019-07-21 1:00,0.1
108,서울,2019-07-21 2:00,0.5
108,서울,2019-07-21 3:00,0.6
108,서울,2019-07-21 4:00,0.6
108,서울,2019-07-21 5:00,0.3
108,서울,2019-07-21 6:00,0.4
108,서울,2019-07-21 7:00,0.7
108,서울,2019-07-21 8:00,0.7
108,서울,2019-07-21 9:00,0.3
108,서울,2019-07-21 10:00,0.2
108,서울,2019-07-21 13:00,0.2
108,서울,2019-07-21 14:00,1.3
108,서울,2019-07-21 15:00,0.3
108,서울,2019-07-21 17:00,0
108,서울,2019-07-22 4:00,0.1
108,서울,2019-07-22 5:00,0
108,서울,2019-07-22 8:00,0
108,서울,2019-07-24 3:00,0
108,서울,2019-07-24 4:00,0
108,서울,2019-07-24 5:00,0
108,서울,2019-07-24 6:00,0
108,서울,2019-07-24 7:00,0
108,서울,2019-07-24 8:00,0.2
108,서울,2019-07-24 9:00,0.5
108,서울,2019-07-24 10:00,0
108,서울,2019-07-24 11:00,0
108,서울,2019-07-24 12:00,0
108,서울,2019-07-24 13:00,0.1
108,서울,2019-07-24 14:00,0
108,서울,2019-07-24 15:00,0
108,서울,2019-07-24 16:00,0.2
108,서울,2019-07-24 17:00,0
108,서울,2019-07-25 4:00,0.3
108,서울,2019-07-25 5:00,0.2
108,서울,2019-07-25 6:00,0.8
108,서울,2019-07-25 7:00,1
108,서울,2019-07-25 8:00,0.1
108,서울,2019-07-25 12:00,0
108,서울,2019-07-25 13:00,0.1
108,서울,2019-07-25 14:00,0.2
108,서울,2019-07-25 16:00,0.9
108,서울,2019-07-25 17:00,0.4
108,서울,2019-07-25 18:00,0.7
108,서울,2019-07-25 19:00,4.8
108,서울,2019-07-25 20:00,0.1
108,서울,2019-07-25 21:00,0.1
108,서울,2019-07-25 22:00,0
108,서울,2019-07-26 2:00,0.8
108,서울,2019-07-26 3:00,0.5
108,서울,2019-07-26 4:00,0.2
108,서울,2019-07-26 5:00,0.2
108,서울,2019-07-26 6:00,0.1
108,서울,2019-07-26 7:00,6.7
108,서울,2019-07-26 8:00,15
108,서울,2019-07-26 9:00,12
108,서울,2019-07-26 10:00,15.7
108,서울,2019-07-26 11:00,6.4
108,서울,2019-07-26 12:00,1.4
108,서울,2019-07-26 13:00,0.2
108,서울,2019-07-26 14:00,0.3
108,서울,2019-07-26 15:00,0.1
108,서울,2019-07-26 17:00,0.1
108,서울,2019-07-26 18:00,0
108,서울,2019-07-26 19:00,0
108,서울,2019-07-26 20:00,0.1
108,서울,2019-07-26 21:00,0.2
108,서울,2019-07-26 23:00,0
108,서울,2019-07-27 0:00,0
108,서울,2019-07-27 1:00,0
108,서울,2019-07-27 2:00,0
108,서울,2019-07-27 4:00,0
108,서울,2019-07-27 5:00,0.6
108,서울,2019-07-27 6:00,0
108,서울,2019-07-28 1:00,0.1
108,서울,2019-07-28 2:00,0
108,서울,2019-07-28 3:00,0.3
108,서울,2019-07-28 4:00,0.5
108,서울,2019-07-28 5:00,0.5
108,서울,2019-07-28 6:00,0
108,서울,2019-07-28 7:00,0
108,서울,2019-07-28 8:00,0
108,서울,2019-07-28 9:00,11.2
108,서울,2019-07-28 10:00,0.4
108,서울,2019-07-28 11:00,0.9
108,서울,2019-07-28 12:00,7.3
108,서울,2019-07-28 13:00,2
108,서울,2019-07-28 14:00,0
108,서울,2019-07-28 16:00,0.1
108,서울,2019-07-28 17:00,0.5
108,서울,2019-07-28 18:00,1.8
108,서울,2019-07-28 19:00,0
108,서울,2019-07-28 22:00,0
108,서울,2019-07-28 23:00,0
108,서울,2019-07-29 0:00,0
108,서울,2019-07-29 1:00,0.5
108,서울,2019-07-29 2:00,0
108,서울,2019-07-30 4:00,0
108,서울,2019-07-30 5:00,0
108,서울,2019-07-30 7:00,0
108,서울,2019-07-30 8:00,0.3
108,서울,2019-07-30 9:00,0
108,서울,2019-07-30 17:00,0.8
108,서울,2019-07-30 23:00,0.1
108,서울,2019-07-31 0:00,0
108,서울,2019-07-31 1:00,0.8
108,서울,2019-07-31 2:00,7.5
108,서울,2019-07-31 3:00,0.2
108,서울,2019-07-31 4:00,0
108,서울,2019-07-31 6:00,0
108,서울,2019-07-31 7:00,0.4
108,서울,2019-07-31 8:00,18.1
108,서울,2019-07-31 9:00,11.9
108,서울,2019-07-31 10:00,15.5
108,서울,2019-07-31 11:00,1.4
108,서울,2019-07-31 12:00,0.1
108,서울,2019-07-31 13:00,0.3
108,서울,2019-07-31 14:00,0
108,서울,2019-07-31 15:00,0.1
108,서울,2019-07-31 16:00,0.4
108,서울,2019-07-31 17:00,2.1
108,서울,2019-07-31 21:00,0
108,서울,2019-07-31 22:00,0.3
108,서울,2019-07-31 23:00,3.1
108,서울,2019-08-01 0:00,0.1
108,서울,2019-08-01 1:00,2
108,서울,2019-08-01 2:00,7.7
108,서울,2019-08-01 3:00,9.1
108,서울,2019-08-01 4:00,4.9
108,서울,2019-08-01 5:00,0
108,서울,2019-08-01 6:00,0
108,서울,2019-08-01 9:00,2.5
108,서울,2019-08-01 10:00,0.7
108,서울,2019-08-01 13:00,0
108,서울,2019-08-01 14:00,0
108,서울,2019-08-01 15:00,0
108,서울,2019-08-03 16:00,2.9
108,서울,2019-08-03 17:00,0.1
108,서울,2019-08-03 20:00,0
108,서울,2019-08-04 17:00,0.9
108,서울,2019-08-04 18:00,7.7
108,서울,2019-08-04 19:00,0
108,서울,2019-08-07 2:00,0
108,서울,2019-08-07 3:00,0.1
108,서울,2019-08-07 4:00,0.6
108,서울,2019-08-07 5:00,1.2
108,서울,2019-08-07 6:00,1.3
108,서울,2019-08-07 7:00,1.4
108,서울,2019-08-07 8:00,2.1
108,서울,2019-08-07 9:00,0.7
108,서울,2019-08-07 10:00,0.2
108,서울,2019-08-07 11:00,0.4
108,서울,2019-08-07 12:00,0
108,서울,2019-08-07 13:00,0
108,서울,2019-08-08 13:00,0
108,서울,2019-08-11 18:00,0
108,서울,2019-08-11 19:00,0
108,서울,2019-08-11 20:00,0
108,서울,2019-08-11 21:00,0
108,서울,2019-08-11 23:00,3.4
108,서울,2019-08-12 0:00,3.3
108,서울,2019-08-12 1:00,12.3
108,서울,2019-08-12 2:00,3
108,서울,2019-08-12 3:00,0.1
108,서울,2019-08-12 4:00,0.2
108,서울,2019-08-12 5:00,0
108,서울,2019-08-12 6:00,3.2
108,서울,2019-08-12 7:00,6.5
108,서울,2019-08-12 8:00,3.2
108,서울,2019-08-12 9:00,8.6
108,서울,2019-08-12 10:00,2.4
108,서울,2019-08-12 11:00,3.4
108,서울,2019-08-12 12:00,0
108,서울,2019-08-12 13:00,0.1
108,서울,2019-08-12 14:00,0.9
108,서울,2019-08-12 15:00,2.4
108,서울,2019-08-12 16:00,2.1
108,서울,2019-08-12 17:00,0.1
108,서울,2019-08-12 18:00,0
108,서울,2019-08-12 21:00,0
108,서울,2019-08-12 22:00,6.7
108,서울,2019-08-12 23:00,1
108,서울,2019-08-13 23:00,6.4
108,서울,2019-08-15 9:00,0.1
108,서울,2019-08-15 10:00,0.4
108,서울,2019-08-15 11:00,0.5
108,서울,2019-08-15 12:00,2.3
108,서울,2019-08-15 13:00,5.8
108,서울,2019-08-15 14:00,5.2
108,서울,2019-08-15 15:00,1.1
108,서울,2019-08-15 16:00,0
108,서울,2019-08-15 17:00,0.3
108,서울,2019-08-15 18:00,0.5
108,서울,2019-08-16 7:00,0
108,서울,2019-08-16 8:00,0.1
108,서울,2019-08-16 11:00,0
108,서울,2019-08-17 12:00,0
108,서울,2019-08-21 17:00,0
108,서울,2019-08-21 18:00,0.2
108,서울,2019-08-21 19:00,0.4
108,서울,2019-08-21 20:00,0.2
108,서울,2019-08-21 21:00,0.1
108,서울,2019-08-21 22:00,0.4
108,서울,2019-08-27 2:00,0.3
108,서울,2019-08-27 3:00,0.2
108,서울,2019-08-27 4:00,0
108,서울,2019-08-27 5:00,15.9
108,서울,2019-08-27 6:00,3
108,서울,2019-08-27 7:00,0.6
