지점,지점명,일시,강수량(mm),강수량 QC플래그
108,서울,2018-01-30 20:00,,9
108,서울,2018-01-30 21:00,1.5,0
108,서울,2018-01-30 22:00,,9
108,서울,2018-01-30 23:00,,9
108,서울,2018-01-31 0:00,0,0
108,서울,2018-01-31 1:00,,9
108,서울,2018-01-31 2:00,,9
108,서울,2018-01-31 3:00,0,0
108,서울,2018-01-31 4:00,,9
108,서울,2018-01-31 5:00,,9
108,서울,2018-01-31 6:00,,9
108,서울,2018-01-31 7:00,,9
108,서울,2018-01-31 8:00,,9
108,서울,2018-01-31 9:00,,9
108,서울,2018-01-31 10:00,,9
108,서울,2018-01-31 11:00,,9
108,서울,2018-01-31 12:00,,9
108,서울,2018-01-31 13:00,,9
108,서울,2018-01-31 14:00,,9
108,서울,2018-01-31 15:00,,9
108,서울,2018-01-31 16:00,,9
108,서울,2018-01-31 17:00,,9
108,서울,2018-01-31 18:00,,9
108,서울,2018-01-31 19:00,,9
108,서울,2018-01-31 20:00,,9
108,서울,2018-01-31 21:00,,9
108,서울,2018-01-31 22:00,,9
108,서울,2018-01-31 23:00,,9
108,서울,2018-02-01 0:00,,9
108,서울,2018-02-03 2:00,,9
108,서울,2018-02-03 3:00,0.1,0
108,서울,2018-02-03 4:00,,9
108,서울,2018-02-03 5:00,,9
108,서울,2018-02-03 6:00,0.4,0
108,서울,2018-02-03 7:00,,9
108,서울,2018-02-03 8:00,,9
108,서울,2018-02-03 9:00,,9
108,서울,2018-02-03 10:00,,9
108,서울,2018-02-03 11:00,,9
108,서울,2018-02-03 12:00,,9
108,서울,2018-02-03 13:00,,9
108,서울,2018-02-03 14:00,,9
108,서울,2018-02-03 15:00,,9
108,서울,2018-02-03 16:00,,9
108,서울,2018-02-03 17:00,,9
108,서울,2018-02-03 18:00,,9
108,서울,2018-02-03 19:00,,9
108,서울,2018-02-03 20:00,,9
108,서울,2018-02-03 21:00,,9
108,서울,2018-02-03 22:00,,9
108,서울,2018-02-03 23:00,,9
108,서울,2018-02-04 0:00,,9
108,서울,2018-02-11 21:00,0,0
108,서울,2018-02-11 22:00,,9
108,서울,2018-02-11 23:00,,9
108,서울,2018-02-12 0:00,0,0
108,서울,2018-02-12 21:00,0,0
108,서울,2018-02-12 22:00,,9
108,서울,2018-02-12 23:00,,9
108,서울,2018-02-13 0:00,0,0
108,서울,2018-02-23 0:00,0.4,0
108,서울,2018-02-23 1:00,,9
108,서울,2018-02-23 2:00,,9
108,서울,2018-02-23 3:00,3.7,0
108,서울,2018-02-23 4:00,,9
108,서울,2018-02-23 5:00,,9
108,서울,2018-02-23 6:00,,9
108,서울,2018-02-23 7:00,,9
108,서울,2018-02-23 8:00,,9
108,서울,2018-02-23 9:00,,9
108,서울,2018-02-23 10:00,,9
108,서울,2018-02-23 11:00,,9
108,서울,2018-02-23 12:00,,9
108,서울,2018-02-23 13:00,,9
108,서울,2018-02-23 14:00,,9
108,서울,2018-02-23 15:00,,9
108,서울,2018-02-23 16:00,,9
108,서울,2018-02-23 17:00,,9
108,서울,2018-02-23 18:00,,9
108,서울,2018-02-23 19:00,,9
108,서울,2018-02-23 20:00,,9
108,서울,2018-02-23 21:00,,9
108,서울,2018-02-23 22:00,,9
108,서울,2018-02-23 23:00,,9
108,서울,2018-02-24 0:00,,9
108,서울,2018-02-28 13:00,,9
108,서울,2018-02-28 14:00,,9
108,서울,2018-02-28 15:00,4.5,0
108,서울,2018-02-28 16:00,,9
108,서울,2018-02-28 17:00,,9
108,서울,2018-02-28 18:00,9.5,0
108,서울,2018-02-28 19:00,,9
